Date,Close/Last,Volume,Open,High,Low
04/28/2021,$918.0092,102,$910.3591,$933.3093,$895.059
04/27/2021,$923.1092,214,$879.7588,$930.7593,$861.9086
04/26/2021,$889.9589,335,$859.3586,$910.3591,$840.2334
04/23/2021,$856.8086,112,$851.7085,$869.5587,$816.0082
04/22/2021,$869.5587,289,$902.709,$923.1092,$838.4484
04/21/2021,$872.1087,247,$803.258,$877.2088,$795.608
04/20/2021,$831.3083,1471,$861.9086,$1040.2829,$816.0082
04/19/2021,$884.8589,1292,$790.5079,$943.5094,$790.5079
04/16/2021,$790.5079,397,$752.2575,$802.544,$719.1072
04/15/2021,$767.5577,506,$892.5089,$892.5089,$744.6074
04/14/2021,$872.1087,382,$930.7593,$963.9096,$846.6085
04/13/2021,$928.2093,331,$986.8599,$997.06,$895.059
04-12-2021,$991.9599,311,$1060.8106,$1068.4607,$981.7598
04-09-2021,$1040.4104,317,$1060.8106,$1114.3611,$1025.1103
04-08-2021,$1086.3109,1054,$1020.0102,$1124.5612,$963.9096
04-07-2021,$1004.71,735,$1048.0605,$1058.2606,$984.3098
04-06-2021,$1045.5105,143,$1099.061,$1099.061,$1045.5105
04-05-2021,$1101.611,340,$1109.2611,$1116.9112,$1060.8106
04-01-2021,$1116.9112,154,$1144.9615,$1146.0835,$1106.7111
03/31/2021,$1111.8111,234,$1091.4109,$1165.3617,$1091.4109
03/30/2021,$1086.3109,254,$1116.9112,$1144.9615,$1083.7608
03/29/2021,$1147.5115,185,$1147.5115,$1160.2616,$1109.2611
03/26/2021,$1142.4114,216,$1137.3114,$1195.962,$1132.2113
03/25/2021,$1124.5612,176,$1086.3109,$1134.7614,$1086.3109
03/24/2021,$1086.3109,553,$1275.0128,$1371.9137,$1082.4858
03/23/2021,$1267.3627,360,$1282.6628,$1317.0882,$1234.2123
03/22/2021,$1348.9635,379,$1275.0128,$1389.7639,$1236.7624
03/19/2021,$1254.6125,687,$1326.0133,$1402.514,$1254.6125
03/18/2021,$1323.4632,573,$1359.1636,$1430.8958,$1290.3129
03/17/2021,$1377.0138,326,$1285.2129,$1402.514,$1280.1128
03/16/2021,$1315.8132,1067,$1320.9132,$1448.5675,$1264.8127
03/15/2021,$1320.9132,1992,$1241.4544,$1397.3885,$1193.4119
03-12-2021,$1119.4612,284,$1116.9112,$1147.5115,$1083.7608
03-11-2021,$1124.5612,305,$1122.0112,$1157.7116,$1099.061
03-10-2021,$1111.8111,296,$1116.9112,$1134.7614,$1083.7608
03-09-2021,$1116.9112,988,$1144.9615,$1201.47,$1076.1108
03-08-2021,$1239.3124,1031,$1081.2108,$1264.8127,$1020.0102
03-05-2021,$1071.0107,768,$1091.4109,$1139.3514,$1007.2601
03-04-2021,$1147.5115,1474,$1280.1128,$1282.6628,$1027.6603
03-03-2021,$1303.063,10543,$1428.0143,$1657.5166,$1252.0625
03-02-2021,$1359.1636,10556,$1224.0122,$1399.964,$1198.512
03-01-2021,$1170.4617,621,$1142.4114,$1192.9019,$1096.511
02/26/2021,$1076.1108,785,$1239.3124,$1239.3124,$1065.9107
02/25/2021,$1234.2123,1804,$1275.0128,$1313.2631,$1178.1118
02/24/2021,$1119.4612,3803,$1002.16,$1338.7634,$994.5099
02/23/2021,$1022.5602,543,$1053.1605,$1070.9852,$961.3596
02/22/2021,$1076.1108,406,$1109.2611,$1147.5115,$1060.8106
